City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,stanley,54.868,-1.6985,17.5,63,40,4.63,GB,1690284710
1,margaret river,-33.95,115.0667,13.78,80,89,5.29,AU,1690284704
2,waitangi,-43.9535,-176.5597,11.01,98,100,2.68,NZ,1690284711
3,aasiaat,68.7098,-52.8699,3.13,91,97,1.96,GL,1690284712
4,acajutla,13.5928,-89.8275,26.24,76,89,2.22,SV,1690284712
5,bargaal,11.2864,51.0773,36.21,37,28,11.99,SO,1690284712
6,grytviken,-54.2811,-36.5092,-2.56,81,30,5.18,GS,1690284646
7,ushuaia,-54.8,-68.3,-3.19,68,0,1.54,AR,1690284548
8,poronaysk,49.2167,143.1167,15.32,98,64,2.15,RU,1690284713
9,as sulayyil,20.4607,45.5779,45.14,5,40,1.05,SA,1690284713
10,miri,4.4148,114.0089,29.08,84,20,1.54,MY,1690284622
11,berezovyy,51.6667,135.7,18.48,96,100,1.04,RU,1690284714
12,bredasdorp,-34.5322,20.0403,15.63,47,0,2.11,ZA,1690284714
13,bilibino,68.0546,166.4372,11.17,94,100,0.35,RU,1690284716
14,karratha,-20.7377,116.8463,19.96,66,2,4.68,AU,1690284677
15,bethel,41.3712,-73.414,24.16,88,0,1.54,US,1690284716
16,invercargill,-46.4,168.35,6.36,82,90,7.96,NZ,1690284499
17,albany,42.6001,-73.9662,19.41,94,2,0.54,US,1690284531
18,olonkinbyen,70.9221,-8.7187,5.37,87,99,5.2,SJ,1690284717
19,ust-nera,64.5667,143.2,15.72,82,58,2.86,RU,1690284717
20,uturoa,-16.7333,-151.4333,26.47,84,14,6.46,PF,1690284718
21,san patricio,28.017,-97.5169,28.92,90,3,2.3,US,1690284718
22,edinburgh of the seven seas,-37.0676,-12.3116,12.58,85,100,11.63,SH,1690284718
23,santa vitoria do palmar,-33.5189,-53.3681,12.23,92,100,4.98,BR,1690284718
24,port-aux-francais,-49.35,70.2167,3.0,65,93,4.98,TF,1690284719
25,puerto natales,-51.7236,-72.4875,-7.04,94,68,1.43,CL,1690284719
26,khor,47.8861,134.9464,21.43,90,3,2.58,RU,1690284719
